CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
197	a/chicken/indonesia/r134/03_{2.1.1}		
141	a/goose/guangxi/345/2005_{2.3.2}		
115	a/duck/shantou/13323/2005_{2.3.4}		
113	a/whooper_swan/mongolia/244/2005_{2.2}		
34	a/chicken/hong_kong/wf157/2003_{9}		
89	a/duck/guangxi/13/2004_{2.4}		
4	a/blackbird/hunan/1/2004_{6}		
115	a/duck/guiyang/293/2006_{2.3.4}		
305	a/whooper_swan/hokkaido/1/2008_{2.3.2}		
232	a/egypt/1394-namru3/2007_{2.2}		
34	a/wild_duck/guangdong/314/2004_{8}		
4	a/pheasant/hong_kong/fy155/01_{3}		
197	a/indonesia/cdc1032/2007_{2.1.3}		
214	a/shenzhen/406h/2006_{2.3.4}		
113	a/chicken/yamaguchi/7/2004_{2.5}		
89	a/chicken/guangxi/12/2004_{2.4}		
32	a/duck/guangxi/1311/2004_{5}		
4	a/quail/hong_kong/sf203/2001_{3}		
69	a/viet_nam/cl01/2004_{1}		
34	a/chicken/hong_kong/yu22/2002_{8}		
69	a/chicken/laos/44/2004_{1}		
115	a/duck/fujian/668/2006_{2.3.4}		
69	a/goose/thailand/79/2004_{1}		
89	a/chicken/yunnan/447/2005_{2.4}		
4	a/beijing/01/2003_{7}		
232	a/nigeria/6/07_{2.2}		
197	a/indonesia/cdc1047/2007_{2.1.3}		
34	a/chicken/hong_kong/61.9/02_{8}		
69	a/chicken/thailand/1/2004_{1}		
21	a/duck/guangdong/22/2002_{4}		
69	a/viet_nam/jphn30321/2005_{1}		
69	a/thailand/16/2004_{1}		
115	a/chicken/guiyang/3055/2005_{2.3.3}		
69	a/hanoi/30408/2005_{1}		
115	a/duck/fujian/11094/2005_{2.3.4}		
214	a/muscovy_duck/vietnam/57/2007_{2.3.4}		
115	a/chicken/malaysia/935/2006_{2.3.4}		
214	a/duck/vietnam/37/2007_{2.3.4}		
34	a/goose/shantou/1621/05_{9}		
69	a/chicken/hong_kong/fy157/2003_{1}		
69	a/duck/viet_nam/258/2004_{1}		
214	a/magpie_robin/hong_kong/75/2006_{2.3.4}		
214	a/goose/guangxi/4513/2005_{2.3.4}		
115	a/duck/laos/3295/2006_{2.3.4}		
115	a/anhui/2/2005_{2.3.4}		
214	a/muscovy_duck/vietnam/49/2007_{2.3.4}		
197	a/indonesia/160h/2005_{2.1.3}		
305	a/whooper_swan/hokkaido/2/2008_{2.3.2}		
4	a/chicken/hong_kong/yu562/01_{3}		
4	a/swine/anhui/ca/2004_{6}		
141	a/chicken/guangxi/2461/2004_{2.3.2}		
141	a/goose/guangxi/3316/2005_{2.3.2}		
4	a/chicken/henan/01/2004_{6}		
115	a/duck/hunan/856/2006_{2.3.4}		
115	a/duck/guiyang/3242/2005_{2.3.3}		
21	a/chicken/guiyang/1218/2006_{4}		
197	a/indonesia/cdc595/2006_{2.1.2}		
32	a/goose/guangxi/2383/2004_{5}		
214	a/duck/hunan/5106/2005_{2.3.4}		
4	a/duck/hubei/wg/2002_{6}		
141	a/duck/yunan/4400/2005_{2.3.2}		
141	a/duck/yunnan/1126/2006_{2.3.2}		
115	a/japanese_white-eye/hong_kong/1038/2006_{2.3.4}		
214	a/china/gd02/2006_{2.3.4}		
69	a/chicken/malaysia/5858/2004_{1}		
113	a/bar-headed_goose/qinghai/1a/2005_{2.2}		
232	a/cygnus_olor/italy/808/2006_{2.2}		
