CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
853	'a/chicken/cambodia/pv025lc2/2010_CLADE1.1.2'		
24	'a/chicken/kamphaengphet-2-04/2004_CLADE1'		
24	'a/chicken/thailand/st-351/2008_CLADE1'		
24	'a/chicken/loei/niah2373/2004_CLADE1'		
0	'a/condor/guangdong/139/2003_CLADE1'		
24	'a/chicken/kalasin/niah317/2004_CLADE1'		
910	'a/cambodia/v0417301/2011_CLADE1.1.2'		
323	'a/chicken/vietnam/830/2004_CLADE1'		
815	'a/chicken/vietnam/2/2010_CLADE1.1.2'		
728	'a/chicken/bac_lieu/1214/2007_CLADE1.1'	739	
24	'a/duck/phitsanulok/niah6-2-0042/2004_CLADE1'		
24	'a/vietnam/1194/2004_CLADE1'		
24	'a/vietnam/ut3028/2003_CLADE1'		
567	'a/vietnam/cl2009/2005_CLADE1'		
728	'a/muscovy_duck/vietnam/ncvd-23/2007_CLADE1.1'		
922	'a/cambodia/w0526301/2012_CLADE1.1.2'		
812	'a/quail/vietnam/1/2010_CLADE1.1.1'		822
313	'a/open-billed_stork/nakhonsawan/bbd3616m/05_CLADE1'		
596	'a/duck/vietnam/286/2005_CLADE1'		
649	'a/duck/vietnam/1233/2005_CLADE1.1'		
24	'a/duck/viet_nam/ncvd01/2005_CLADE1'		
323	'a/viet_nam/jp4207/2005_CLADE1'		407
24	'a/thailand/3_CLADE1'		
648	'a/duck/vietnam/soc_trang_680c/2005_CLADE1'		
815	'a/duck/vietnam/st0970/2009_CLADE1.1.2'		
24	'a/duck/vietnam/40/2004_CLADE1'		
753	'a/chicken/vietnam/ncvd-15/2007_CLADE1.1'		
596	'a/duck/vietnam/hau_giang680f/2005_CLADE1'		
323	'a/ck/viet_nam/39/2004_CLADE1'		
812	'a/chicken/vietnam/kh/2010_CLADE1.1.1'		822
323	'a/chicken/vietnam/52/2004_CLADE1'		
524	'a/chicken/cambodia/022lc3b/2005_CLADE1'		
24	'a/chicken/nakornsawan-2-06/2004_CLADE1'		
24	'a/chicken/malaysia/5858/2004_CLADE1'		
0	'a/duck/hong_kong/821/2002_CLADE1'		
0	'a/silky_chicken/shantou/4071/2002_CLADE1'		
24	'a/vietnam/ut3030/2003_CLADE1'		
24	'a/viet_nam/3062/2004_CLADE1'		
102	'a/qa/thailand/57/2004_CLADE1'		
323	'a/chicken/vietnam/945/2004_CLADE1'		
24	'a/ck/viet_nam/c57/2004_CLADE1'		
649	'a/duck/vietnam/dong_thap_680d/2005_CLADE1'		
304	'a/chicken/suphanburi/niah7540/2004_CLADE1'		
24	'a/open-billed_stork/bangkok/lbd0511f/04_CLADE1'		
728	'a/muscovy_duck/vietnam/33/2007_CLADE1.1'		
24	'a/vietnam/hn30262iiim3/2004_CLADE1'		
753	'a/chicken/vietnam/ncvd-24/2007_CLADE1.1'		
378	'a/chicken/phichit/niah6-4-0001/2006_CLADE1'		
0	'a/duck/yunnan/215/2003_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bba0627may/05_CLADE1'		
596	'a/duck/vietnam/367/2005_CLADE1'		
815	'a/duck/vietnam/ncvd-361/2009_CLADE1.1.2'		
694	'a/chicken/cambodia/lc3al/2007_CLADE1.1'		
24	'a/tiger/suphanburi/thailand/ti-1/04_CLADE1'		
694	'a/chicken/cambodia/67f4/2008_CLADE1.1'		
304	'a/chicken/thailand/kanchanaburi/ck-160/2005_CLADE1'		
690	'a/duck/vietnam/5/2007_CLADE1.1'		
596	'a/chicken/cambodia/047lc4/2005_CLADE1'		
0	'a/chicken/yunnan/1252/2003_CLADE1'		
323	'a/chicken/viet_nam/vl-008/2004_CLADE1'		
24	'a/ck/thailand/73/2004_CLADE1'		
928	'a/cambodia/w0329318/2012_CLADE1.1.2'		
776	'a/duck/vietnam/ncvd-103/2008_CLADE1.1.1'		
776	'a/chicken/vietnam/ncvd-117/2008_CLADE1.1.1'		
922	'a/chicken/soc_trang/4/2012_CLADE1.1.2'		
922	'a/chicken/vietnam/ncvd-ka428/2013_CLADE1.1.2'		
24	'a/chicken/thailand/vsmu-3-bkk/2004_CLADE1'		
24	'a/chicken/thailand/ku14/2004_CLADE1'		
323	'a/chicken/vietnam/933/2004_CLADE1'		
24	'a/chicken/vietnam/hd2/2004_CLADE1'		
24	'a/chicken/vietnam/19/2003_CLADE1'		
853	'a/chicken/cambodia/tkcmb1f/2010_CLADE1.1.2'		
24	'a/chicken/thailand/kamphaengphet-3-06/2005_CLADE1'		
235	'a/chicken/thailand/kamphaengphet-3-07/2005_CLADE1'		
24	'a/chicken/saraburi/thailand/cu-17/04_CLADE1'		
24	'a/muscovy_duck/vietnam/mdgl/2004_CLADE1'		
323	'a/chicken/vietnam/921/2004_CLADE1'		407
815	'a/duck/vietnam/1/2010_CLADE1.1.2'		
24	'a/chicken/thailand/kamphaengphet/niah6-3-0009/2005_CLADE1'		
102	'a/duck/phangnga/niah181/2004_CLADE1'		
0	'a/gs/hk/739.2/02_CLADE1'		
24	'a/chicken/phitsanulok/niah6-3-0017/2005_CLADE1'		
922	'a/civet_cat/cambodia/x0313306/2013_CLADE1.1.2'		
776	'a/duck/vietnam/ncvd-363/2009_CLADE1.1.1'		
783	'a/chicken/vietnam/ncvd-369/2009_CLADE1.1.2'		
301	'a/tiger/thailand/cu-t7/2004_CLADE1'		
323	'a/chicken/vietnam/18/2004_CLADE1'		
24	'a/duck/viet_nam/tg24-01/2005_CLADE1'		
323	'a/chicken/vietnam/133/2004_CLADE1'		
753	'a/duck/vietnam/ncvd-13/2007_CLADE1.1'		
323	'a/duck/vietnam/148/2004_CLADE1'		
24	'a/chicken/cambodia/7/2004_CLADE1'		
596	'a/chicken/vietnam/ncvd09/2005_CLADE1'		
24	'a/chicken/kamphaengphet-2-01/2004_CLADE1'		
0	'a/chicken/hong_kong/3123.1/2002_CLADE1'		
24	'a/chicken/viet_nam/11/2005_CLADE1'		
24	'a/quail/thailand/phichit-01/2004_CLADE1'		
649	'a/duck/vietnam/1228/2005_CLADE1'		
648	'a/chicken/vietnam/binh_duong477/2005_CLADE1'		
524	'a/chicken/cambodia/022lc2b/2005_CLADE1'		
24	'a/chicken/thailand/uthaithani-01/2004_CLADE1'		
0	'a/chicken/yunnan/564/2003_CLADE1'		
304	'a/duck/thailand/cu-328/07_CLADE1'		
812	'a/chicken/vietnam/ncvd-778/2011_CLADE1.1.1'		
24	'a/chicken/uttaradit-2-02/2004_CLADE1'		
812	'a/chicken/vietnam/5/2010_CLADE1.1.1'		822
313	'a/open-billed_stork/nakhonsawan/bbd2416f/05_CLADE1'		
893	'a/muscovy_duck/vietnam/oie-3314/2011_CLADE1.1.2'		
24	'a/openbill_stork/thailand/vsmu-4-nsn/2004_CLADE1'		
24	'a/openbill_stork/thailand/vsmu-6-bkk/2004_CLADE1'		
728	'a/duck/bac_lieu/07-06/2007_CLADE1.1'		
690	'a/duck/vietnam/8/2007_CLADE1.1'		
235	'a/chicken/thailand/kamphaengphet-3-01/2005_CLADE1'		
602	'a/quail/thailand/cu-332/06_CLADE1'		
24	'a/green_peafowl/thailand/vsmu-3-cbi/2005_CLADE1'		
728	'a/duck/vietnam/34/2007_CLADE1.1'		
101	'a/vietnam/ut3047iii/2004_CLADE1'		
378	'a/duck/thailand/ts04/2006_CLADE1'		
0	'a/hong_kong/213-dkpass/2003_CLADE1'		
24	'a/chicken/vietnam/32/2004_CLADE1'		
922	'a/chicken/cambodia/w0530390/2012_CLADE1.1.2'		
24	'a/pigeon/thailand/vsmu-11-kri/2005_CLADE1'		
323	'a/chicken/vietnam/890/2004_CLADE1'		407
24	'a/chicken/thailand/sukhothai-01/2004_CLADE1'		
928	'a/marabou_stork/cambodia/tm068/2011_CLADE1.1.2'		
24	'a/ostrich/samut_prakan/thailand/cu-31/04_CLADE1'		
323	'a/chicken/viet_nam/dt-171/2004_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bba2811m/05_CLADE1'		
649	'a/chicken/vietnam/393/2005_CLADE1'		
596	'a/duck/vietnam/dong_thap_680a/2005_CLADE1'		
815	'a/duck/vietnam/ncvd-368/2009_CLADE1.1.2'		
922	'a/environment/cambodia/e99w4m1/2013_CLADE1.1.2'		
24	'a/openbill_stork/thailand/vsmu-12-bkk/2003_CLADE1'		
24	'a/open-billed_stork/thailand/cu-2/2004_CLADE1'		
24	'a/duck/vietnam/17/2003_CLADE1'		
24	'a/chicken/angthong/niah8334/2004_CLADE1'		
24	'a/india/m777/2007_CLADE1'		
301	'a/chicken/uthaithani-2-04/2004_CLADE1'		
690	'a/duck/bac_lieu/07-09/2007_CLADE1.1'		
1022	'a/cambodia/x0808305/2013_CLADE1.1.2'		
323	'a/chicken/vietnam/dt171/2004_CLADE1'		
1022	'a/cambodia/x0817302/2013_CLADE1.1.2'		
304	'a/chicken/suphanburi/niah108192/2005_CLADE1'		
323	'a/duck/viet_nam/tg-007a/2004_CLADE1'		
24	'a/chicken/malaysia/5744/2004_CLADE1'		
24	'a/duck/vietnam/942b/2004_CLADE1'		
812	'a/muscovy_duck/vietnam/oie-559/2011_CLADE1.1.1'		
524	'a/chicken/cambodia/022lc1b/2005_CLADE1'		
596	'a/duck/vietnam/557/2005_CLADE1'		
596	'a/duck/vietnam/543/2005_CLADE1'		
922	'a/environment/cambodia/e1178w38m3pop661c/2013_CLADE1.1.2'		
602	'a/quail/thailand/cu-330/06_CLADE1'		
304	'a/golden_pheasant/thailand/vsmu-21-spb/2005_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bbd1621j/05_CLADE1'		
648	'a/duck/vietnam/dong_thap_680h/2005_CLADE1'		
812	'a/chicken/vietnam/ncvd-777/2011_CLADE1.1.1'		
101	'a/hanoi/03/2004_CLADE1'		
323	'a/duck/vietnam/283/2005_CLADE1'		
