Treefile	CS	FDR	MAD	Kuiper/KS	Qn/MAD	q-values	Force	Within_cluster_limit	Solution_Index	Prior_taxa_clustered(%)	#_of_clustered_sequences	Total_no_of_sequences	%_clustered	#_of_clusters	Mean_cluster_size	S.D.	Median_cluster_size	MAD	Min_cluster_size	Max_cluster_size	Grand_mean_of_mean_pwd	S.D.	Grand_mean_of_median_pwd	S.D.	Min_mean_pwd	Max_mean_pwd	Mean_of_inter-cluster_dist	S.D.	Median_of_inter-cluster_dist	MAD	Min_inter-cluster_dist	Max_inter-cluster_dist	solver(version)
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.100	1.000000	kuiper	qn	post	0	0.0187338795513	0	na	195	230	0.847826086957	18	10.8333333333	8.59719516505	7.5	2.22390007973	4	36	0.0128804	0.00332633	0.0121272	0.00500499	0.00567431	0.0171956	0.0283724	0.0147802	0.0265788305551	0.0132100023329	0.00314676	0.0738196	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.100	2.000000	kuiper	qn	post	0	0.0270172134042	0	na	222	230	0.965217391304	17	13.0588235294	11.1269413376	9.0	4.44780015945	4	43	0.0164392	0.00484596	0.0168532	0.00625356	0.00572104	0.0244033	0.0311047	0.0161841	0.029717233032	0.0173638556153	0.00314676	0.0784247	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.100	3.000000	kuiper	qn	post	0	0.0353005453944	0	na	223	230	0.969565217391	14	15.9285714286	8.67768389619	14.5	7.41300010681	4	39	0.018674	0.0069392	0.0186859	0.00833085	0.00572104	0.0321273	0.0278577	0.0149572	0.0257464330643	0.0130480863154	0.0054259	0.0712453	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.150	1.000000	kuiper	qn	post	0	0.0187338795513	0	na	196	230	0.852173913043	17	11.5294117647	9.2609235977	8.0	2.96519994736	4	36	0.0128936	0.00366679	0.0115889	0.00508738	0.00567431	0.0171956	0.0285326	0.014726	0.0273122489452	0.0126264616847	0.00314676	0.0738196	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.150	2.000000	kuiper	qn	post	0	0.0270172134042	0	na	222	230	0.965217391304	17	13.0588235294	11.1381696669	9.0	4.44780015945	4	43	0.0164789	0.00484583	0.016964	0.00622011	0.00572104	0.0244033	0.0313799	0.0163857	0.029717233032	0.0173962619156	0.00314676	0.0784247	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.150	3.000000	kuiper	qn	post	0	0.0353005453944	0	na	223	230	0.969565217391	10	22.3	17.127301143	18.5	14.0846996307	7	62	0.0234907	0.00474316	0.0248898	0.00595983	0.0156203	0.0321273	0.0249039	0.0112048	0.024375198409	0.0125112561509	0.00623744	0.0493411	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.150	3.000000	kuiper	qn	post	0	0.0353005453944	1	na	223	230	0.969565217391	10	22.3	18.2211720565	18.5	14.0846996307	4	65	0.0219217	0.0074276	0.0223543	0.00792518	0.00572104	0.0321273	0.0300515	0.0175463	0.0273826345801	0.0174700841308	0.00623744	0.0712453	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.200	1.000000	kuiper	qn	post	0	0.0187338795513	0	na	193	230	0.839130434783	17	11.3529411765	9.26647975549	7.0	1.48259997368	4	36	0.0123282	0.00426128	0.010742	0.00562949	0.00386674	0.0182112	0.0291027	0.0164549	0.0249838493764	0.011677368544	0.00388222	0.0738149	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.200	2.000000	kuiper	qn	post	0	0.0270172134042	0	na	222	230	0.965217391304	17	13.0588235294	13.2969479028	8.0	2.96519994736	5	54	0.0172421	0.00498608	0.0189044	0.00771258	0.00849179	0.0255682	0.0282388	0.0131462	0.027820577845	0.0145774167031	0.00314676	0.0635533	gurobi_v8.0.1
zero-branch-length-collapsed_WHO_H5N1_2009	4	0.200	3.000000	kuiper	qn	post	0	0.0353005453944	0	na	223	230	0.969565217391	11	20.2727272727	17.4647697328	15.0	8.89560031891	4	65	0.0211531	0.00695499	0.0223246	0.00753165	0.00572104	0.0321273	0.028584	0.0170073	0.024375198409	0.0140756638721	0.0054259	0.0712453	gurobi_v8.0.1
