run,average_dist,std_average_dist,Treefile,CS,FDR,MAD,Kuiper/KS,Qn/MAD,q-values,Within_cluster_limit,Solution_Index,Clean_up,Prior_taxa_clustered(%),#_of_clustered_sequences,Total_no_of_sequences,%_clustered,#_of_clusters,Mean_cluster_size,S.D.,Median_cluster_size,MAD.1,Min_cluster_size,Max_cluster_size,Grand_mean_of_mean_pwd,S.D..1,Grand_mean_of_median_pwd,S.D..2,Min_mean_pwd,Max_mean_pwd,Mean_of_inter-cluster_dist,S.D..3,Median_of_inter-cluster_dist,MAD.2,Min_inter-cluster_dist,Max_inter-cluster_dist,solver(version)
cs3_fdr0.2_gam3.0,28627.91160066603,163432.90123032941,zero-branch-length-collapsed_WHO_2009_full_rooted,3,0.2,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1204,1224,0.9836601307189999,39,30.871794871794872,59.80986518133482,12.0,8.8956,3,300,0.010158864588137691,0.0038840010648045578,0.009709381813163968,0.004549312552696747,0.00044121146817959373,0.01902024194404709,0.030304095737636375,0.015860902059955433,0.02834151157410266,0.017545201092380783,3.0000015000799997e-06,0.0875880471268,"gurobi_(8, 0, 0)"
cs4_fdr0.15_gam3.0,32093.109166858583,172185.2756600472,zero-branch-length-collapsed_WHO_2009_full_rooted,4,0.15,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1202,1224,0.982026143791,35,34.34285714285714,62.402838763266885,15.0,10.3782,4,300,0.011168988268285971,0.003503024863232452,0.010944893489878827,0.004245743477662903,0.0044889460402748795,0.01782540126066668,0.028289845564811,0.014112859481224227,0.02733895390498009,0.015847157922628797,0.00065521030914,0.06589931735849999,"gurobi_(8, 0, 0)"
cs4_fdr0.2_gam3.0,30601.48861784136,167593.55183779387,zero-branch-length-collapsed_WHO_2009_full_rooted,4,0.2,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1201,1224,0.9812091503270001,37,32.45945945945946,61.28104410310228,16.0,10.3782,4,300,0.010556097839679342,0.004131320201174357,0.0104196349025198,0.004782684239168739,0.0012181506441108468,0.01782540126066668,0.0293842590360318,0.014379966578721481,0.028681274767842168,0.015894722869937015,2.0000010000599997e-06,0.0639371801772,"gurobi_(8, 0, 0)"
cs5_fdr0.1_gam3.0,30364.642225283493,167625.67736429066,zero-branch-length-collapsed_WHO_2009_full_rooted,5,0.1,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1201,1224,0.9812091503270001,37,32.45945945945946,61.103552631120756,15.0,10.3782,5,300,0.010597195602349258,0.004257032989302061,0.010101526816726464,0.004816370768395087,0.0017189969493341176,0.018563290997677527,0.02921329660844443,0.014432364011736459,0.028620898489582405,0.01661419608907073,0.00065521030914,0.0718828412717,"gurobi_(8, 0, 0)"
cs3_fdr0.15_gam3.0,31316.182477658607,169850.5923838896,zero-branch-length-collapsed_WHO_2009_full_rooted,3,0.15,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1199,1224,0.979575163399,36,33.30555555555556,61.54014691678663,13.5,8.8956,4,300,0.010582693998283562,0.0037924507812195046,0.01060654586719528,0.004421830830232737,0.0012181506441108468,0.01717963306894974,0.02874233427782288,0.014139020221961212,0.028139058021660137,0.015462753828437203,2.0000010000599997e-06,0.0639212067869,"gurobi_(8, 0, 0)"
cs5_fdr0.15_gam3.0,30448.20154186483,167619.037957028,zero-branch-length-collapsed_WHO_2009_full_rooted,5,0.15,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1197,1224,0.977941176471,37,32.351351351351354,61.045618741786605,13.0,10.3782,5,300,0.010636077046686628,0.004030580170178552,0.01022827657696626,0.004861601218084658,0.0017189969493341176,0.01782540126066668,0.02932290294996408,0.01439869290291604,0.02853882296422784,0.015987569996691108,0.00065521030914,0.0718828412717,"gurobi_(8, 0, 0)"
cs6_fdr0.2_gam3.0,37904.98833356813,185373.38088935963,zero-branch-length-collapsed_WHO_2009_full_rooted,6,0.2,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1197,1224,0.977941176471,30,39.9,66.6231553409639,18.5,13.3434,6,300,0.011496083229740113,0.003470181655309837,0.01143331813223343,0.0041213224933696994,0.003844703673220987,0.018563290997677527,0.027834121149562203,0.014022772917971485,0.027060430467190914,0.015716246506162115,0.0006572103101399999,0.0672056488188,"gurobi_(8, 0, 0)"
cs6_fdr0.15_gam3.0,31574.59474978157,169811.16190551853,zero-branch-length-collapsed_WHO_2009_full_rooted,6,0.15,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1196,1224,0.977124183007,36,33.22222222222222,62.05118215110174,14.5,11.1195,6,300,0.010545382351861296,0.0035963916258070897,0.010582118591644485,0.004077593648406923,0.001718727248508579,0.01782540126066668,0.028863355723468476,0.01511747593795424,0.02762599807481701,0.016599458661065415,1.0000005000299999e-06,0.0753972178174,"gurobi_(8, 0, 0)"
cs5_fdr0.2_gam3.0,29364.92873947435,165504.83028149905,zero-branch-length-collapsed_WHO_2009_full_rooted,5,0.2,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1195,1224,0.976307189542,38,31.447368421052627,59.22868980139885,14.0,11.8608,5,295,0.010140856475574963,0.0040665359104624715,0.009885025965076191,0.004601126996108882,0.0017189969493341176,0.01782540126066668,0.030818050030646024,0.015234667707658741,0.02966190846785293,0.016610935769262442,0.0013133433582499998,0.0800744102703,"gurobi_(8, 0, 0)"
cs6_fdr0.1_gam3.0,30571.68463636259,167598.89306158744,zero-branch-length-collapsed_WHO_2009_full_rooted,6,0.1,3.0,kuiper,qn,post,0.016535938237100003,0,post-clean,na,1194,1224,0.975490196078,37,32.270270270270274,61.07947857261637,13.0,8.8956,6,300,0.010298674333496679,0.003647172935849506,0.01025813953071655,0.004102396819514343,0.001718727248508579,0.01782540126066668,0.029610087143063277,0.015144536640735297,0.028687992865384492,0.016506718340547368,2.0000010000599997e-06,0.0753972178174,"gurobi_(8, 0, 0)"
