clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
9927,0.9999,'a/chicken/bandar_lampung/bbpviii/2006_CLADE2_1_3',0.0579333416614013,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/tasik2/2006_CLADE2_1_3',0.06389750484092939,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc370t/2006_CLADE2_1_3',0.06324230185195574,0.01455145374032106,97
9927,0.9999,'a/indonesia/286h/2006_CLADE2_1_3',0.0625758532257584,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc644/2006_CLADE2_1_3',0.0619153290355207,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/siak1631-2/2006_CLADE2_1_3',0.0678695035651192,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/belitung_timor1631-1_CLADE2_1_3',0.06258193826623017,0.01455145374032106,97
9927,0.9999,'a/indonesia/tll008/2006_CLADE2_1_3',0.06258945371649462,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc759/2006_CLADE2_1_3',0.06455955489050405,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc326n2/2006_CLADE2_1_3',0.061917221331595176,0.01455145374032106,97
9927,0.9999,'a/indonesia/583h/2006_CLADE2_1_3',0.0632434228678899,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/bangka_seletan1631-2_CLADE2_1_3',0.06192134667273411,0.01455145374032106,97
9927,0.9999,'a/indonesia/tll003/2006_CLADE2_1_3',0.0632433373178633,0.01455145374032106,97
9927,0.9999,'a/chicken/murao_jambi/bbpv-ii/2005_CLADE2_1_3',0.0592856463952212,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc634/2006_CLADE2_1_3',0.05994081734428413,0.01455145374032106,97
9927,0.9999,'a/duck/indramayu/bbpw109/2006_CLADE2_1_3',0.06061291496567151,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/rejang_lebong1631-22_CLADE2_1_3',0.06061239780240682,0.01455145374032106,97
9927,0.9999,'a/indonesia/569h/2006_CLADE2_1_3',0.0626085257598433,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc390/2006_CLADE2_1_3',0.06426407593404947,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc582/2006_CLADE2_1_3',0.06324541914713958,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/tasiksob/2006_CLADE2_1_3',0.061256735692459215,0.01455145374032106,97
9927,0.9999,'a/indonesia/542h/2006_CLADE2_1_3',0.06191562136573797,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/gunung_kidul1631-33/_CLADE2_1_3',0.06524666658215603,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/semerang1631-62/2007_CLADE2_1_3',0.06460277066317958,0.01455145374032106,97
9927,0.9999,'a/indonesia/tll002/2006_CLADE2_1_3',0.06259429707716785,0.01455145374032106,97
9927,0.9999,'a/chicken/gunung_kidal/bbvw/2005_CLADE2_1_3',0.052628339073611814,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/smi-cslk-ec/2006_CLADE2_1_3',0.07410208317953536,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/pekenbaru1631-11/200_CLADE2_1_3',0.06589784993785561,0.01455145374032106,97
9927,0.9999,'a/chicken/wajo/bbvm/2005_CLADE2_1_3',0.05460746919819446,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc184/2005_CLADE2_1_3',0.06129107105482505,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc1031/2007_CLADE2_1_3',0.0672377624474029,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc357/2006_CLADE2_1_3',0.06191634831831611,0.01455145374032106,97
