leafname	clustername
a/chicken/bandar_lampung/bbpviii/2006_CLADE2_1_3	9927
a/chicken/west_java/tasik2/2006_CLADE2_1_3	9927
a/indonesia/cdc370t/2006_CLADE2_1_3	9927
a/indonesia/286h/2006_CLADE2_1_3	9927
a/indonesia/cdc644/2006_CLADE2_1_3	9927
a/chicken/indonesia/siak1631-2/2006_CLADE2_1_3	9927
a/chicken/indonesia/belitung_timor1631-1_CLADE2_1_3	9927
a/indonesia/tll008/2006_CLADE2_1_3	9927
a/indonesia/cdc759/2006_CLADE2_1_3	9927
a/indonesia/cdc326n2/2006_CLADE2_1_3	9927
a/indonesia/583h/2006_CLADE2_1_3	9927
a/chicken/indonesia/bangka_seletan1631-2_CLADE2_1_3	9927
a/indonesia/tll003/2006_CLADE2_1_3	9927
a/chicken/murao_jambi/bbpv-ii/2005_CLADE2_1_3	9927
a/indonesia/cdc634/2006_CLADE2_1_3	9927
a/duck/indramayu/bbpw109/2006_CLADE2_1_3	9927
a/chicken/indonesia/rejang_lebong1631-22_CLADE2_1_3	9927
a/indonesia/569h/2006_CLADE2_1_3	9927
a/indonesia/cdc390/2006_CLADE2_1_3	9927
a/indonesia/cdc582/2006_CLADE2_1_3	9927
a/chicken/west_java/tasiksob/2006_CLADE2_1_3	9927
a/indonesia/542h/2006_CLADE2_1_3	9927
a/chicken/indonesia/gunung_kidul1631-33/_CLADE2_1_3	9927
a/chicken/indonesia/semerang1631-62/2007_CLADE2_1_3	9927
a/indonesia/tll002/2006_CLADE2_1_3	9927
a/chicken/gunung_kidal/bbvw/2005_CLADE2_1_3	9927
a/chicken/west_java/smi-cslk-ec/2006_CLADE2_1_3	9927
a/chicken/indonesia/pekenbaru1631-11/200_CLADE2_1_3	9927
a/chicken/wajo/bbvm/2005_CLADE2_1_3	9927
a/indonesia/cdc184/2005_CLADE2_1_3	9927
a/indonesia/cdc1031/2007_CLADE2_1_3	9927
a/indonesia/cdc357/2006_CLADE2_1_3	9927
a/indonesia/5/2005_CLADE2_1_3	9927
a/indonesia/tll001/2006_CLADE2_1_3	9927
a/indonesia/cdc329/2006_CLADE2_1_3	9927
a/chicken/yogjakarta/bbvet-ix/2004_CLADE2_1_3	9927
a/chicken/way_kanan/bbpviii/2006_CLADE2_1_3	9927
a/indonesia/cdc624/2006_CLADE2_1_3	9927
a/indonesia/cdc739/2006_CLADE2_1_3	9927
a/indonesia/cdc370/2006_CLADE2_1_3	9927
a/chicken/indonesia/padang1631-1/2006_CLADE2_1_3	9927
a/indonesia/cdc1032/2007_CLADE2_1_3	9927
a/indonesia/cdc669/2006_CLADE2_1_3	9927
a/chicken/indonesia/wates126/2005_CLADE2_1_3	9927
a/indonesia/tll009/2006_CLADE2_1_3	9927
a/chicken/indonesia/wates130/2005_CLADE2_1_3	9927
a/indonesia/cdc7/2005_CLADE2_1_3	9927
a/indonesia/567h/2006_CLADE2_1_3	9927
a/chicken/magetan/bbvw/2005_CLADE2_1_3	9927
a/chicken/indonesia/bandung1631-49/2006_CLADE2_1_3	9927
a/indonesia/cdc287e/2005_CLADE2_1_3	9927
a/chicken/indonesia/cdc25/2005_CLADE2_1_3	9927
a/chicken/indonesia/wates1/2005_CLADE2_1_3	9927
a/chicken/indonesia/garut1631-51/2006_CLADE2_1_3	9927
a/chicken/papua/ta5/2006_CLADE2_1_3	9927
a/indonesia/cdc634p/2006_CLADE2_1_3	9927
a/indonesia/cdc1046/2007_CLADE2_1_3	9927
a/chicken/purworejo/bbvw/2005_CLADE2_1_3	9927
a/indonesia/cdc644t/2006_CLADE2_1_3	9927
a/indonesia/cdc292n/2005_CLADE2_1_3	9927
a/chicken/west_java/pwt-wij/2006_CLADE2_1_3	9927
a/indonesia/cdc623/2006_CLADE2_1_3	9927
a/indonesia/cdc523e/2006_CLADE2_1_3	9927
a/indonesia/cdc194p/2005_CLADE2_1_3	9927
a/quail/jakarta/ju1/2006_CLADE2_1_3	9927
a/chicken/west_java/tasiksol/2006_CLADE2_1_3	9927
a/indonesia/tll004/2006_CLADE2_1_3	9927
a/indonesia/cdc523/2006_CLADE2_1_3	9927
a/indonesia/cdc1046t/2007_CLADE2_1_3	9927
a/indonesia/292h/2006_CLADE2_1_3	9927
a/indonesia/cdc1032n/2007_CLADE2_1_3	9927
a/chicken/west_java/smi-cslk-eb/2006_CLADE2_1_3	9927
a/muscovy_duck/jakarta/habwin/2006_CLADE2_1_3	9927
a/chicken/indonesia/agam1631-3/2006_CLADE2_1_3	9927
a/chicken/west_java/smi-endri2/2006_CLADE2_1_3	9927
a/muscovy_duck/indonesia/kedri1631-24/20_CLADE2_1_3	9927
a/indonesia/cdc624e/2006_CLADE2_1_3	9927
a/quail/boyolali/bppv4/2004_CLADE2_1_3	9927
a/feline/indonesia/cdc1/2006_CLADE2_1_3	9927
a/indonesia/cdc610/2006_CLADE2_1_3	9927
a/chicken/palembang/bppv-iii/2005_CLADE2_1_3	9927
a/indonesia/304h/2006_CLADE2_1_3	9927
a/indonesia/239h/2005_CLADE2_1_3	9927
a/duck/parepare/bbvm/2005_CLADE2_1_3	9927
a/indonesia/cdc326/2006_CLADE2_1_3	9927
a/chicken/pakun_baru/bppv-ii/2005_CLADE2_1_3	9927
a/indonesia/cdc326n/2006_CLADE2_1_3	9927
a/indonesia/604h/2006_CLADE2_1_3	9927
a/chicken/indonesia/lampung1631-23/2006_CLADE2_1_3	9927
a/indonesia/cdc699/2006_CLADE2_1_3	9927
a/indonesia/cdc742/2006_CLADE2_1_3	9927
a/indonesia/298h/2006_CLADE2_1_3	9927
a/chicken/sembawa/bppv-iii/2005_CLADE2_1_3	9927
a/indonesia/341h/2006_CLADE2_1_3	9927
a/indonesia/7/2005_CLADE2_1_3	9927
a/indonesia/245h/2005_CLADE2_1_3	9927
a/indonesia/195h/2005_CLADE2_1_3	9927
a/chicken/salatiga/bbvet-i/2005_CLADE2_1_2	10120
a/chicken/medan/bbpv1-576/2005_CLADE2_1_2	10120
a/chicken/deli_serdang/bppv1/2005_CLADE2_1_2	10120
a/chicken/medan/bbpv1-571/2005_CLADE2_1_2	10120
a/quail/central_java/smrg/2006_CLADE2_1_3	10120
a/chicken/agam/bbpvi/2005_CLADE2_1_2	10120
a/chicken/deli_derdang/bbpvi/2005_CLADE2_1_2	10120
a/chicken/pidie/bppv1/2005_CLADE2_1_2	10120
a/chicken/rokan_hilli/bppv-ii/2005_CLADE2_1_2	10120
a/chicken/indonesia/soppeng1631-71/2007_CLADE2_1_3	10120
a/chicken/siak/bppv-ii/2005_CLADE2_1_2	10120
a/chicken/indonesia/magelang1631-57/2007_CLADE2_1_3	10120
a/indonesia/6/2005_CLADE2_1_3	10120
a/chicken/indonesia/wates83/2005_CLADE2_1_2	10120
a/chicken/langkat/bbpv1-576/2005_CLADE2_1_2	10120
a/chicken/indonesia/kulon1631-47/2006_CLADE2_1_3	10120
a/chicken/salam/bbpv-ii/2005_CLADE2_1_2	10120
a/indonesia/cdc595/2006_CLADE2_1_2	10120
a/chicken/pulau_rampang/bbpvii/2006_CLADE2_1_2	10120
a/chicken/taput/bbpv1-576/2005_CLADE2_1_2	10120
a/chicken/medan/bppv1-534/2005_CLADE2_1_2	10120
a/chicken/karo/bbpvii/2006_CLADE2_1_2	10120
a/chicken/madiun/bbvw1420/2005_CLADE2_1_3	10120
a/indonesia/cdc594/2006_CLADE2_1_2	10120
a/indonesia/534h/2006_CLADE2_1_2	10120
a/indonesia/560h/2006_CLADE2_1_2	10120
a/indonesia/cdc625/2006_CLADE2_1_2	10120
a/chicken/pangkalpinang/bppv3/2004_CLADE2_1_2	10120
a/chicken/deli_serdang/bppvi/2005_CLADE2_1_2	10120
a/chicken/dairi/bppvi/2005_CLADE2_1_2	10120
a/chicken/indonesia/wates77/2005_CLADE2_1_2	10120
a/chicken/medan/bppv1-498/2005_CLADE2_1_2	10120
a/chicken/tebing_tinggi/bppvi/2005_CLADE2_1_2	10120
a/chicken/duma/bbpv-ii/2005_CLADE2_1_2	10120
a/indonesia/535h/2006_CLADE2_1_2	10120
a/chicken/simalanggang/bppvi/2005_CLADE2_1_2	10120
a/chicken/padang/bbpvii/2006_CLADE2_1_2	10120
a/chicken/west_java/garut-may/2006_CLADE2_1_3	10120
a/duck/madiun/bbvw1358/2005_CLADE2_1_2	10120
a/chicken/gunung_kidul/bbvw/2006_CLADE2_1_3	10120
a/chicken/tarutung/bppvi/2005_CLADE2_1_2	10120
a/chicken/indonesia/wates80/2005_CLADE2_1_1	10201
a/chicken/kulon_progo/bbvet-xii-1/2004_CLADE2_1_1	10201
a/chicken/kupang-1-ntt/bppv6/2004_CLADE2_1_1	10201
a/chicken/bantul/bbvet-i/2005_CLADE2_1_1	10206
a/chicken/jembrana/bppv6/2004_CLADE2_1_1	10206
a/dk/indonesia/ms/2004_CLADE2_1_1	10206
a/ck/indonesia/2a/2003_CLADE2_1_1	10206
a/ck/indonesia/5/2004_CLADE2_1_1	10206
a/chicken/ngawi/bppv4/2004_CLADE2_1_1	10221
a/chicken/sragen/bppv4/2003_CLADE2_1_1	10221
a/ck/indonesia/bl/2003_CLADE2_1_1	10221
a/ck/indonesia/4/2004_CLADE2_1_1	10226
a/ck/indonesia/pa/2003_CLADE2_1_1	10226
a/quail/tasikmalaya/bppv4/2004_CLADE2_1_1	10229
a/chicken/indonesia/7/2003_CLADE2_1_1	10229
a/chicken/indonesia/r60/05_CLADE2_1_1	10229
a/chicken/pekalongan/bppv4/2003_CLADE2_1_1	10229
a/chicken/west_java/hamd/2006_CLADE2_1_1	10236
a/chicken/wonosobo/bppv4/2003_CLADE2_1_1	10236
a/chicken/indonesia/11/2003_CLADE2_1_1	10236
a/chicken/yunnan/207/2004_CLADE2_4	10246
a/duck/yunnan/6603/2003_CLADE2_4	10246
a/ck/yn/374/2004_CLADE2_4	10246
a/dk/yn/6255/2003_CLADE2_4	10246
a/duck/yunnan/4072/2003_CLADE2_4	10246
a/chicken/jiyuan/1/03_CLADE2_4	10246
a/duck/yunnan/5090/2003_CLADE2_4	10246
a/chicken/zhengzhou/1/02_CLADE2_4	10246
a/chicken/china/1204/04_CLADE2_4	10246
a/duck/yunnan/5169/2003_CLADE2_4	10246
a/dk/yn/6445/2003_CLADE2_4	10246
a/duck/guangxi/13/2004_CLADE2_4	10246
a/chicken/guangxi/12/2004_CLADE2_4	10246
a/chicken/yunnan/6885/2003_CLADE2_4	10246
a/duck/yunnan/6080/2003_CLADE2_4	10246
a/duck/yunnan/4645/2003_CLADE2_4	10246
a/chicken/yunnan/6957/2003_CLADE2_4	10246
a/duck/yunnan/522/2004_CLADE2_4	10246
a/chicken/yunnan/447/05_CLADE2_4	10246
a/ck/yn/115/2004_CLADE2_4	10246
a/duck/yunnan/485/2004_CLADE2_4	10246
a/duck/yunnan/426/2004_CLADE2_4	10246
a/chicken/yunnan/5686/2003_CLADE2_4	10246
a/duck/yunnan/5948/2003_CLADE2_4	10246
a/chicken/yunnan/6797/2003_CLADE2_4	10246
a/chicken/fujian/584/2006_CLADE2_3_4	10296
a/chicken/guiyang/29/2006_CLADE2_3_4	10296
a/anhui/2/2005_CLADE2_3_4	10296
a/muscovy_duck/vietnam/49/2007_CLADE2_3_4	10296
a/duck/guangxi/5075/2005_CLADE2_3_4	10296
a/chicken/guangxi/4989/2005_CLADE2_3_4	10296
a/goose/yunnan/6193/2006_CLADE2_3_4	10296
a/duck/hunan/988/2006_CLADE2_3_4	10296
a/duck/fujian/9651/2005_CLADE2_3_4	10296
a/duck/hunan/324/2006_CLADE2_3_4	10296
a/duck/vietnam/52/2007_CLADE2_3_4	10296
a/duck/laos/3295/2006_CLADE2_3_4	10296
a/goose/yunnan/1144/2006_CLADE2_3_4	10296
a/duck/shantou/13323/2005_CLADE2_3_4	10296
a/duck/vietnam/55/2007_CLADE2_3_4	10296
a/chicken/fujian/12239/2005_CLADE2_3_4	10296
a/goose/yunnan/5979/2006_CLADE2_3_4	10296
a/muscovy_duck/vietnam/41/2007_CLADE2_3_4	10296
a/china/gd01/2006_CLADE2_3_4	10296
a/chicken/fujian/11933/2005_CLADE2_3_4	10296
a/duck/yunnan/6490/2006_CLADE2_3_4	10296
a/chicken/nakhonphanom/niah113718/2006_CLADE2_3_4	10296
a/goose/guiyang/1304/2006_CLADE2_3_4	10296
a/duck/vietnam/38/2007_CLADE2_3_4	10296
a/goose/yunnan/1396/2006_CLADE2_3_4	10296
a/duck/hunan/856/2006_CLADE2_3_4	10296
a/muscovy_duck/vietnam/54/2007_CLADE2_3_4	10296
a/goose/yunnan/6169/2005_CLADE2_3_4	10296
a/duck/guiyang/3834/2005_CLADE2_3_4	10296
a/duck/fujian/12032/2005_CLADE2_3_4	10296
a/chicken/malaysia/5223/2007_CLADE2_3_4	10296
a/chicken/fujian/10313/2005_CLADE2_3_4	10296
a/goose/guangxi/1633/2006_CLADE2_3_4	10296
a/goose/guangxi/52/2006_CLADE2_3_4	10296
a/goose/yunnan/1338/2006_CLADE2_3_4	10296
a/goose/guangxi/1458/2006_CLADE2_3_4	10296
a/chicken/fujian/10039/2005_CLADE2_3_4	10296
a/duck/guangxi/150/2006_CLADE2_3_4	10296
a/chicken/guiyang/3055/2005_CLADE2_3_3	10296
a/goose/shantou/3295/2006_CLADE2_3_4	10296
a/muscovy_duck/vietnam/56/2007_CLADE2_3_4	10296
a/duck/guangxi/619/2006_CLADE2_3_4	10296
a/duck/vietnam/43/2007_CLADE2_3_4	10296
a/duck/yunnan/5310/2006_CLADE2_3_4	10296
a/duck/vietnam/53/2007_CLADE2_3_4	10296
a/common_magpie/hong_kong/2125/2006_CLADE2_3_4	10296
a/robin/hong_kong/75/2006_CLADE2_3_4	10296
a/duck/guangxi/4830/2005_CLADE2_3_4	10296
a/duck/guangxi/2143/2006_CLADE2_3_4	10296
a/duck/fujian/10934/2005_CLADE2_3_4	10296
a/duck/guiyang/3996/2005_CLADE2_3_4	10296
a/chicken/shantou/3923/2006_CLADE2_3_4	10296
a/goose/yunnan/4985/2006_CLADE2_3_4	10296
