run,average_dist,std_average_dist,Treefile,CS,FDR,MAD,Kuiper/KS,Qn/MAD,q-values,Within_cluster_limit,Solution_Index,Clean_up,Prior_taxa_clustered(%),#_of_clustered_sequences,Total_no_of_sequences,%_clustered,#_of_clusters,Mean_cluster_size,S.D.,Median_cluster_size,MAD.1,Min_cluster_size,Max_cluster_size,Grand_mean_of_mean_pwd,S.D..1,Grand_mean_of_median_pwd,S.D..2,Min_mean_pwd,Max_mean_pwd,Mean_of_inter-cluster_dist,S.D..3,Median_of_inter-cluster_dist,MAD.2,Min_inter-cluster_dist,Max_inter-cluster_dist
cs7_fdr0.15_gam3.0,33972.697063638385,246017.5716688246,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,7,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4268,4357,0.979573100757,89,47.95505617977528,79.96418375980465,21.0,16.3086,7,559,0.012671537290780003,0.0046927252004574605,0.012105211848314605,0.005254379855251807,0.0020540230545454553,0.022162957444444444,0.05561278358580183,0.02535141315796386,0.054806294999999984,0.02666750989139999,0.00041329199999999995,0.13336230300000002
cs8_fdr0.1_gam3.0,30127.32323894343,210592.27062191154,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,8,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4263,4357,0.978425522148,91,46.846153846153854,71.12647937565917,23.0,16.3086,8,521,0.012393681547843316,0.004726236559762931,0.011854186873626377,0.005073713344450843,0.0017079664615384615,0.022162957444444444,0.05729277484297924,0.02615942335219857,0.05652262,0.027334779225599997,0.0007266439999999999,0.135675717
cs3_fdr0.1_gam3.0,31111.340844205522,237076.9662555826,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,3,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4259,4357,0.977507459261,96,44.36458333333334,73.6405380053629,21.0,17.049899999999994,3,574,0.012277874869921941,0.004565336713824697,0.011875975463541666,0.004892362334626025,2e-06,0.022162957444444444,0.06119676812675439,0.02791339189877428,0.060393062,0.029578653554100005,0.000711575,0.142317589
cs6_fdr0.15_gam3.0,26944.216701063997,107879.37016194667,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,6,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4259,4357,0.977507459261,92,46.29347826086956,60.918345284194615,22.5,17.049899999999994,6,346,0.012437960094146844,0.004595168677751165,0.011813959108695656,0.005013967878898777,0.0031065398133333327,0.021307432666666664,0.055828474561872905,0.025805575239872928,0.05549587449999999,0.027155963580900017,0.000728025,0.13336230300000002
cs7_fdr0.1_gam3.0,31100.31353040043,223425.60302819227,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,7,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4259,4357,0.977507459261,93,45.79569892473118,67.2535046993326,24.0,17.7912,7,521,0.01263215931210742,0.004584425602983387,0.01207258122580645,0.00514719603003997,0.0017079664615384615,0.022162957444444444,0.057365902639083685,0.026852629812659626,0.055989989,0.028511819813400018,0.00041329199999999995,0.139381073
cs4_fdr0.2_gam3.0,22986.023715087777,103539.8314217419,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,4,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4258,4357,0.977277943539,94,45.29787234042554,54.303573178387786,23.5,18.5325,4,275,0.01225250476172478,0.0047136094060448285,0.011681569776595744,0.005202586719355933,2e-06,0.022162957444444444,0.05820079195515901,0.02678379114205915,0.05670002299999999,0.0283602061722,0.00041329199999999995,0.140154421
cs7_fdr0.2_gam3.0,30279.79269440112,218343.88462406123,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,7,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4257,4357,0.977048427817,98,43.438775510204074,68.78729598702668,20.0,16.3086,7,530,0.012206215729421791,0.00461182984912055,0.011686943913265305,0.005086979106266249,0.0020540230545454553,0.022162957444444444,0.056648764712602565,0.025844163207586347,0.05587470000000001,0.026902377453000004,0.00041329199999999995,0.135751683
cs2_fdr0.2_gam3.0,24972.61094051529,135183.89609917597,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,2,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4257,4357,0.977048427817,97,43.886597938144334,60.1056147350679,23.0,16.3086,4,304,0.012221981957644009,0.0046050503919088746,0.011648532525773195,0.005000806734357148,2e-06,0.022162957444444444,0.058570536001718215,0.028004257303884582,0.057282015499999984,0.030369533922000005,0.000711575,0.143050853
cs5_fdr0.2_gam3.0,22950.23741221223,103041.72905607402,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,5,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4257,4357,0.977048427817,97,43.886597938144334,55.59898760481537,20.0,14.826,5,283,0.012245709587285141,0.004594581238487454,0.01170799762628866,0.004966934188041905,0.0020540230545454553,0.022162957444444444,0.058068035573883174,0.027386028089428197,0.056973219999999984,0.029040021267599987,0.0007294469999999999,0.14153178800000002
cs9_fdr0.15_gam3.0,39320.11966578438,262548.53194514755,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,9,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4255,4357,0.976589396374,78,54.551282051282044,81.4627071774113,27.0,20.7564,9,561,0.013181881212578088,0.004466224822693172,0.012538956615384615,0.004986355283130271,0.0037795971323529407,0.022162957444444444,0.0555377819047619,0.025994044480841732,0.05446030600000002,0.02788566742499997,0.00041329199999999995,0.135346785
cs4_fdr0.1_gam3.0,22265.318514198003,108095.22023553244,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,4,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4254,4357,0.976359880652,99,42.96969696969697,54.67817804196541,22.0,16.3086,4,279,0.011804428446862992,0.004802376708457211,0.011230357752525255,0.005117324740762118,2e-06,0.021307432666666664,0.05953699789569161,0.02798915241347773,0.058318949,0.0293248761708,0.00041329199999999995,0.142317589
cs4_fdr0.15_gam3.0,23453.051392122394,97294.6660635509,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,4,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4254,4357,0.976359880652,96,44.3125,57.51051391290392,22.0,19.2738,4,309,0.011897628006133951,0.004819681906113133,0.011255472546875,0.00517352665888206,2e-06,0.021307432666666664,0.05994756892894736,0.02761298289584584,0.05846036900000001,0.02911378284149999,0.000729417,0.143050853
cs6_fdr0.1_gam3.0,29289.072225544554,232221.54970847565,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,6,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4254,4357,0.976359880652,100,42.54,68.35933282177629,24.5,17.049899999999994,6,579,0.012318056569336143,0.00447524331788589,0.011775774455000004,0.0048477742509920145,0.0017079664615384615,0.021307432666666664,0.05809084106828283,0.027449702089425317,0.057264095,0.0298439492568,0.000728025,0.137968278
cs6_fdr0.2_gam3.0,22227.045533199856,93304.49890581859,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,6,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4252,4357,0.975900849208,99,42.949494949494955,52.66167985596857,22.0,17.7912,6,277,0.011971066333425444,0.004594342103416274,0.011470850262626262,0.004897880317172803,0.0022462866111111115,0.021307432666666664,0.058311629403834275,0.026980767679563752,0.057581514000000014,0.02850960184380001,0.000728025,0.13336230300000002
cs3_fdr0.15_gam3.0,25148.87584427613,141389.80913337003,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,3,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4252,4357,0.975900849208,99,42.949494949494955,59.23963333702857,22.0,16.3086,3,330,0.012358100665524315,0.004519187319373843,0.011778565328282828,0.004940684092704539,2e-06,0.022162957444444444,0.06048229724015668,0.028170362953691155,0.059852943000000026,0.030029166027000037,0.000729492,0.143050853
cs3_fdr0.2_gam3.0,21402.27921546664,110014.94409888332,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,3,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4251,4357,0.975671333486,96,44.28125,58.458388822171706,21.0,17.049899999999994,4,334,0.012101110236393785,0.004611625130612958,0.011722274572916663,0.00508561444038105,2e-06,0.022162957444444444,0.05990188025548245,0.028606162480446142,0.05840304399999999,0.03066177291449997,0.0007302519999999999,0.14859510199999998
cs2_fdr0.15_gam3.0,31297.457038807697,222516.1906350486,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,2,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4251,4357,0.975671333486,94,45.22340425531914,68.51138422869293,23.5,18.5325,4,524,0.012241483040167988,0.004367247447660321,0.011542300925531912,0.004842969795785034,2e-06,0.022162957444444444,0.05832944289819263,0.02785532914272127,0.057272605999999976,0.03027275572440003,0.000711575,0.143050853
cs8_fdr0.15_gam3.0,28404.02866584551,141134.61865137334,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,8,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4251,4357,0.975671333486,89,47.76404494382022,62.21572120670695,24.0,16.3086,8,347,0.012858558172799616,0.004102757422941551,0.012234982365168538,0.004683130110186265,0.004787406714285714,0.022162957444444444,0.05312888237691522,0.024751095029904545,0.05207533,0.025777347955799983,0.00041329199999999995,0.130598586
cs7_fdr0.05_gam3.0,33318.497236853174,206194.95025859642,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,7,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4248,4357,0.974982786321,88,48.27272727272727,72.54007648138209,25.5,19.2738,7,476,0.0124453556758627,0.0044999464149216755,0.01192744368181818,0.005043301351465242,0.003447791238095237,0.022162957444444444,0.05675637904702194,0.0267509629801952,0.055700343999999985,0.028695218915999993,0.000711575,0.130724197
cs8_fdr0.05_gam3.0,35177.216723164966,234244.9968827488,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,8,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4248,4357,0.974982786321,85,49.976470588235294,76.54083511287234,23.0,16.3086,8,525,0.012813270220545386,0.0042565885111219975,0.012237749379411763,0.0047869309963947245,0.00317816035,0.022162957444444444,0.05557121352044818,0.026405521527492343,0.054135640999999984,0.028095247760999986,0.000711575,0.13094971
cs5_fdr0.15_gam3.0,22364.717023458303,93099.78255162168,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,5,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4247,4357,0.974753270599,96,44.23958333333334,58.5986787693099,24.5,20.0151,6,347,0.012215514468139949,0.00476918515731206,0.011587878348958332,0.005127477985889939,0.0020540230545454553,0.021307432666666664,0.055329187677631585,0.02626480664487247,0.0535632675,0.028254822222900013,0.000728025,0.13336230300000002
cs10_fdr0.2_gam3.0,37368.55689942821,241098.08842291188,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,10,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4247,4357,0.974753270599,80,53.0875,80.90034403237703,23.0,14.826,10,527,0.01336314882009958,0.004066614366179115,0.012667964668749998,0.004683071029891689,0.005622922291666667,0.02025849696969697,0.05261609304272151,0.02478435956528633,0.051779446500000006,0.02657879629649997,0.00041329199999999995,0.127297061
cs5_fdr0.1_gam3.0,27935.57751763889,174972.6293517058,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,5,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4245,4357,0.974294239155,103,41.2135922330097,60.38400815523029,23.0,16.3086,5,482,0.0120834286610011,0.004598248901506149,0.011600611106796116,0.004991555319508199,0.0014634427999999998,0.022162957444444444,0.05514009141481058,0.02593882864871161,0.05398950399999998,0.026856962449800018,0.000722532,0.133566947
cs4_fdr0.05_gam3.0,24370.81586911238,110795.09526558986,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,4,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4244,4357,0.974064723434,94,45.14893617021277,57.7333427910063,25.0,20.7564,4,334,0.012259796655286393,0.0044691038083325895,0.011676621632978723,0.004803072573200284,2e-06,0.021307432666666664,0.058097778272248914,0.0280535502128986,0.05646206999999999,0.030389141306999993,0.000727694,0.142317589
cs10_fdr0.15_gam3.0,31046.30073371736,143252.47530959937,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,10,0.15,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4244,4357,0.974064723434,82,51.75609756097561,66.89102266356838,25.0,16.3086,10,347,0.012922238473871564,0.004207428860576686,0.012259992414634149,0.004676501587316874,0.0037795971323529407,0.02025849696969697,0.05271049399427883,0.02383702407511641,0.05210336299999999,0.025086053088599982,0.00041329199999999995,0.127297061
cs9_fdr0.2_gam3.0,36971.7574528201,242447.0971018334,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,9,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4244,4357,0.974064723434,79,53.72151898734179,84.31867766272963,24.0,16.3086,9,527,0.013352623081802248,0.004335640738171753,0.012718085234177216,0.004906517487387432,0.005140112222222223,0.022162957444444444,0.051945136085037334,0.024474728087616877,0.05066691399999999,0.02668571621940001,0.00041329199999999995,0.128814031
cs6_fdr0.05_gam3.0,30857.760264098237,161171.0368334714,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,6,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4241,4357,0.973376176268,90,47.12222222222222,66.45363810566093,22.5,17.049899999999994,6,367,0.012381707016612571,0.004287069727532955,0.011861806188888891,0.00467667662428391,0.003447791238095237,0.021307432666666664,0.058009744594007484,0.02732807439305372,0.05656976200000002,0.029434971081600026,0.000711575,0.139346305
cs9_fdr0.05_gam3.0,33107.23496282878,217156.66870944801,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,9,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4238,4357,0.972687629103,86,49.27906976744186,74.5045835404524,27.0,17.049899999999994,9,521,0.012624294580743926,0.00422147272040629,0.012021611965116277,0.004782245614805889,0.003667904483516483,0.022162957444444444,0.05494255191874145,0.026174480185263083,0.05350700699999999,0.02727892078799996,0.000729202,0.13094971
cs5_fdr0.05_gam3.0,34550.33702789661,232745.38694664568,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,5,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4238,4357,0.972687629103,86,49.27906976744186,77.13207178565877,23.5,17.7912,6,527,0.012706739421052791,0.0043988838144784475,0.012075304125000002,0.0048844455352737215,0.003447791238095237,0.022162957444444444,0.05488692226922025,0.02564063903147334,0.05395756100000002,0.027683173916999957,0.000711575,0.127422672
cs10_fdr0.1_gam3.0,34611.770701806316,224192.8380797668,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,10,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4238,4357,0.972687629103,85,49.85882352941177,69.12172715771871,25.0,17.7912,10,499,0.012749058229589721,0.0044114458784973,0.012138755844117643,0.004846233617027661,0.0017079664615384615,0.02025849696969697,0.054756165627450976,0.025130543592878918,0.054261322999999986,0.02618016815189999,0.00041329199999999995,0.135346785
cs2_fdr0.05_gam3.0,27474.63604858053,143311.77474339705,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,2,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4236,4357,0.972228597659,95,44.58947368421053,63.92839989824423,23.0,19.2738,2,326,0.01178994177763176,0.004600286562793957,0.011177223536842106,0.00488243773058275,2e-06,0.022162957444444444,0.05616782492855543,0.026459587149784046,0.055053859000000004,0.02809755320399998,0.00041329199999999995,0.137711614
cs3_fdr0.05_gam3.0,27935.91993983435,127150.34661776814,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,3,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4234,4357,0.971769566215,94,45.04255319148936,62.42930020906782,23.0,16.3086,3,346,0.01216951726870915,0.004315415010645318,0.011607743255319145,0.0046908407014973705,2e-06,0.022162957444444444,0.057554296936170216,0.027545773790091637,0.056487758999999985,0.029630309562000023,0.000711575,0.142317589
cs10_fdr0.05_gam3.0,31775.974003372692,212208.43335958364,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,10,0.05,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4233,4357,0.971540050493,90,47.03333333333333,68.60773533876926,24.0,14.826,10,512,0.01237176357267205,0.004275562000241511,0.01179790208888889,0.004831741814898896,0.003667904483516483,0.02025849696969697,0.057065178113857674,0.027037583831491,0.055740798,0.028300005199199983,0.000711575,0.135681296
cs2_fdr0.1_gam3.0,23163.88712554619,133910.73402649004,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,2,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4225,4357,0.969703924719,110,38.40909090909091,56.936516306095065,20.0,14.826,4,331,0.011442787907159628,0.004259902315547363,0.010997366681818182,0.004718893669914372,2e-06,0.022162957444444444,0.061096697857047536,0.02857534781780377,0.060393032,0.030472218797999988,0.00041329199999999995,0.142317589
cs9_fdr0.1_gam3.0,23024.9138254252,104406.37326262788,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,9,0.1,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4224,4357,0.969474408997,89,47.46067415730337,52.113306663063796,30.0,23.7216,9,276,0.012451026779071271,0.004732149981371804,0.01192895868539326,0.0051748324526748254,0.0017079664615384615,0.022162957444444444,0.05367294848825332,0.02485095367686628,0.05277641599999998,0.026094311527199977,0.00041329199999999995,0.127297061
cs8_fdr0.2_gam3.0,29291.387982455926,157761.14522614045,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,8,0.2,3.0,kuiper,qn,post,0.01991724,0,post-clean,na,4221,4357,0.968785861832,90,46.9,61.3071196627954,24.0,18.5325,8,333,0.012696570603675673,0.004249489853835284,0.01214253516111111,0.004671108489002841,0.004390056714285715,0.022162957444444444,0.05574472929588015,0.025808926858014853,0.054490525,0.02744039964959999,0.00041329199999999995,0.129481616
cs6_fdr0.15_gam2.0,20568.729298386726,155615.39239357226,zero-branch-length-collapsed_reordered.WHO_2015_final_rooted,6,0.15,2.0,kuiper,qn,post,0.01479517,0,post-clean,na,4170,4357,0.957080560018,124,33.62903225806452,56.804967683534564,17.0,11.8608,6,508,0.009904756726602435,0.0031935341534144127,0.009647560298387096,0.003512260853120659,0.0016735457142857144,0.014683809153439156,0.06172998732795699,0.028849557445162217,0.0602212305,0.028775793036899987,0.000728025,0.16305610199999998
