cluster	nomenclature	taxon
0	1	a/goose/guangdong/1/96_CLADE0
0	1	a/goose/guangdong/3/1997_CLADE0
0	1	a/duck/guangxi/07/1999_CLADE0
0	1	a/chicken/hubei/wj/1997_CLADE0
0	1	a/environment/hong_kong/156/1997_CLADE0
0	1	a/hong_kong/156/97_CLADE0
0	1	a/hong_kong/481/97_CLADE0
0	1	a/chicken/jilin/xw/2003_CLADE0
0	1	a/goose/hong_kong/437-6/1999_CLADE0
0	1	a/environment/hong_kong/437-6/99_CLADE0
0	1	a/goose/hong_kong/437-8/1999_CLADE0
0	1	a/environment/hong_kong/437-10/99_CLADE0
0	1	a/environment/hong_kong/437-4/99_CLADE0
0	1	a/chicken/hong_kong/317.5/2001_CLADE0
0	1	a/environment/hong_kong/437-8/99_CLADE0
11	1.1	a/chicken/hubei/wl/1997_CLADE0
11	1.1	a/chicken/china/1/02_CLADE0
11	1.1	a/plateau_pika/qinghai/04/2007_CLADE0
11	1.1	a/chicken/hubei/wf/2002_CLADE0
11	1.1	a/chicken/hubei/wi/1997_CLADE0
11	1.1	a/duck/zhejiang/15/2000_CLADE0
11	1.1	a/duck/zhejiang/11/2000_CLADE0
11	1.1	a/duck/fujian/19/2000_CLADE0
11	1.1	a/duck/guangdong/12/2000_CLADE0
11	1.1	a/duck/shanghai/08/2001_CLADE0
11	1.1	a/duck/shantou/195/2001_CLADE0
11	1.1	a/chicken/hubei/wn/2003_CLADE0
11	1.1	a/chicken/shandong/k01/2004_CLADE0
11	1.1	a/swine/shandong/2/03_CLADE0
11	1.1	a/chicken/hubei/wh/1997_CLADE0
12	1.2	a/hong_kong/532/1997_CLADE0
12	1.2	a/chicken/hong_kong/786/97_CLADE0
12	1.2	a/chicken/hong_kong/728/97_CLADE0
12	1.2	a/hong_kong/491/97_CLADE0
12	1.2	a/hong_kong/542/97_CLADE0
12	1.2	a/hong_kong/503/97_CLADE0
12	1.2	a/chicken/hong_kong/y388/97_CLADE0
12	1.2	a/chicken/hong_kong/y385/97_CLADE0
12	1.2	a/hong_kong/485/1997_CLADE0
12	1.2	a/hong_kong/514/97_CLADE0
12	1.2	a/chicken/hong_kong/220/97_CLADE0
12	1.2	a/chicken/hong_kong/258/97_CLADE0
12	1.2	a/goose/vietnam/3/05_CLADE0
12	1.2	a/hong_kong/483/1997_CLADE0
12	1.2	a/duck/vietnam/1/2005_CLADE0
2989	1.4.1.5.3.1.1.1	a/great_crested_grebe/germany/r1406/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/domestic_goose/germany/r1400/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/black-necked_grebe/germany/r1393/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/mute_swan/france/070203/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/krasnodar/300/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/mute_swan/germany/r1359/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/canada_goose/bavaria/4/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/greylag_goose_/bavaria/11/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/cygnus_olor/germany/r1372/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/swan/bavaria/7/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/swan/bavaria/2/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/swan/bavaria/5/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/czech_republic/11242-38/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/germany/r3272/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/peking_duck/germany/r1959/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/domestic_duck/germany/r1779/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/domestic_duck/germany/r1772/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/cygnus_olor/czech_republic/10732/07_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/cat/romania/tl/nov/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/common_pochard/switzerland/wv4080110/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/mallard/bavaria/10/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/wild_duck/bavaria/13/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/turkey/england/2614/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/poland/r3248/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/poland/38-140v08/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/buzzard/poland/mb266b-141v08/2007_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/nigeria/08vir4337-344/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/nigeria/08vir4337-343/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/duck/nigeria/3724-2/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/turkey-samsun/09rs2842-113/08_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/turkey-sakarya/09rs2843-4/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/turkey-zonguldak/09rs2842-112/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/turkey/turkey/tr67merkez2/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/turkey-sakarya/09rs2843-3/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/turkey-sakarya/09rs2843-2/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/ukraine/av453/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/chicken/turkey-edirne/09rs2843-5/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/swan/england/26-70/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/swan/england/av56-489/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/swan/england/av26-68/2008_CLADE2.2
2989	1.4.1.5.3.1.1.1	a/canada_goose/england/av578-8276/2008_CLADE2.2
3600	1.4.1.5.3.1.1.4.2.1	a/peacock/egypt/07667s-nlqp/2007_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/chicken/egypt/08124s-nlqp/2008_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/1980-namru3/2008_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/3158-namru3/2008_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/duck/egypt/11nlqp-clevb263/2008_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/2514-namru3/2008_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/10211-namru3/2007_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/duck/egypt/099-nlqp/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/n03434/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/turkey/egypt/0959-nlqp/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/chicken/egypt/rimd12-3/2008_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/n04979/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/turkey/egypt/0935-nlqp/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/n04526/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/turkey/egypt/09206sm-nlqp/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/egypt/n04822/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/chicken/egypt/09279s-nlqp/2009_CLADE2.2.1
3600	1.4.1.5.3.1.1.4.2.1	a/duck/egypt/0982-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/2629-namru3/2007_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/2621-namru3/2007_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02752/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0930sml-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0970-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n05056/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0969sml-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n04527/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03450/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n00606/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/093l-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/092l-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0912-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0926-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1035/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1022/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/09349s-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n04394/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0910-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0915-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/093smg-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/0912smg-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/0929-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/0967smf-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/09102smf-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/093-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n00001/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-40/vrlcu/2011_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/09332sm-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1553-1/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n04316/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n02563/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/09339s-nlqp/2009_CLADE2.2.1
