run,average_dist,std_average_dist,Treefile,CS,FDR,MAD,Kuiper/KS,Qn/MAD,q-values,Within_cluster_limit,Solution_Index,Clean_up,Prior_taxa_clustered(%),#_of_clustered_sequences,Total_no_of_sequences,%_clustered,#_of_clusters,Mean_cluster_size,S.D.,Median_cluster_size,MAD.1,Min_cluster_size,Max_cluster_size,Grand_mean_of_mean_pwd,S.D..1,Grand_mean_of_median_pwd,S.D..2,Min_mean_pwd,Max_mean_pwd,Mean_of_inter-cluster_dist,S.D..3,Median_of_inter-cluster_dist,MAD.2,Min_inter-cluster_dist,Max_inter-cluster_dist,solver(version)
cs4_fdr0.2_gam3,28481.84534,149775.4411,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7697,7898,0.974550519,135,57.01481481,95.14897864,23,19.2738,4,585,0.010295175,0.004108834,0.010049959,0.004534165,0.000357972,0.019602092,0.075975507,0.038094074,0.073258719,0.042321864,0.000661557,0.200087966,"gurobi_(8, 0, 1)"
cs5_fdr0.2_gam3,23572.02035,133650.0199,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7685,7898,0.973031147,138,55.6884058,93.58167522,20.5,18.5325,5,571,0.010301682,0.004239993,0.010177466,0.004600342,2.00E-06,0.019602092,0.077220663,0.038644491,0.075241545,0.043104258,0.000207054,0.199731571,"gurobi_(8, 0, 1)"
cs6_fdr0.2_gam3,25962.44285,140884.9322,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7680,7898,0.972398075,133,57.7443609,97.32378436,24,20.7564,6,598,0.010427885,0.003925683,0.010293309,0.004542666,0.000357972,0.018051724,0.076220921,0.038464393,0.074324301,0.042760748,0.000125274,0.202400559,"gurobi_(8, 0, 1)"
cs3_fdr0.1_gam3,22955.53159,135283.3673,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7670,7898,0.971131932,145,52.89655172,92.36707597,25,22.239,3,615,0.010222123,0.004060253,0.010157976,0.00442834,2.00E-06,0.018494553,0.079545394,0.039790118,0.078011454,0.044087439,0.000634749,0.218587632,"gurobi_(8, 0, 1)"
cs6_fdr0.1_gam3,24737.69165,137345.3011,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7668,7898,0.970878703,140,54.77142857,91.71847314,21.5,17.0499,6,585,0.010171251,0.004286108,0.010037973,0.004725369,0.000357972,0.024410144,0.079430795,0.039647365,0.077922185,0.044602359,0.000659661,0.201732931,"gurobi_(8, 0, 1)"
cs6_fdr0.05_gam3,24463.35969,142716.4773,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7664,7898,0.970372246,139,55.13669065,86.31709333,24,20.7564,6,613,0.010006486,0.004288543,0.009862563,0.004699679,0.000357972,0.017932776,0.079299284,0.039547423,0.077847568,0.044835943,0.00066181,0.202795122,"gurobi_(8, 0, 1)"
cs3_fdr0.15_gam3,22620.19016,129321.6472,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7662,7898,0.970119017,149,51.42281879,87.19233022,23,19.2738,3,588,0.010130562,0.004345448,0.009878374,0.004605998,2.00E-06,0.02566419,0.076703157,0.037456636,0.074747478,0.041155623,0.000634749,0.201732931,"gurobi_(8, 0, 1)"
cs3_fdr0.05_gam3,23542.42132,144108.8983,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7661,7898,0.969992403,145,52.83448276,95.29566664,25,19.2738,3,619,0.010120255,0.004436316,0.009950889,0.004791517,2.00E-06,0.02767293,0.078999186,0.039659011,0.077402659,0.04385158,0.000634749,0.218587632,"gurobi_(8, 0, 1)"
cs6_fdr0.15_gam3,25884.50863,151559.5133,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7659,7898,0.969739174,136,56.31617647,93.0583013,23.5,18.5325,6,612,0.010383243,0.004105653,0.010217222,0.004572519,0.000357972,0.022946522,0.077329859,0.038466034,0.075273039,0.042717564,0.000661654,0.202400559,"gurobi_(8, 0, 1)"
cs3_fdr0.2_gam3,24396.4,146812.5022,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7658,7898,0.96961256,148,51.74324324,88.45592481,21,19.2738,3,615,0.010151827,0.003973507,0.0099503,0.004453167,2.00E-06,0.018494553,0.07717465,0.038211062,0.075961093,0.042180384,0.00066181,0.1970984,"gurobi_(8, 0, 1)"
