cluster	nomenclature	taxon
0	1	a_/_h5n1/a/goose/guangdong/1/96_CLADE0
0	1	a_/_h5n1/a/goose/guangdong/3/1997_CLADE0
0	1	a_/_h5n1/a/chicken/hubei/wj/1997_CLADE0
0	1	a_/_h5n1/a/duck/shantou/195/2001_CLADE0
0	1	a_/_h5n1/a/duck/shanghai/08/2001_CLADE0
0	1	a_/_h5n1/a/chicken/hubei/wl/1997_CLADE0
0	1	a_/_h5n1/a/duck/fujian/19/2000_CLADE0
0	1	a_/_h5n1/a/duck/guangdong/12/2000_CLADE0
0	1	a_/_h5n1/a/chicken/china/1/02_CLADE0
0	1	a_/_h5n1/a/duck/zhejiang/11/2000_CLADE0
0	1	a_/_h5n1/a/chicken/hubei/wn/2003_CLADE0
0	1	a_/_h5n1/a/chicken/shandong/k01/2004_CLADE0
0	1	a_/_h5n1/a/chicken/hubei/wh/1997_CLADE0
0	1	a_/_h5n1/a/environment/qinghai/1/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/3/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/13/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/10/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/4/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/7/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/11/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/5/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/1/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/2/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose/qinghai/6/2008_CLADE0
0	1	a_/_h5n1/a/bar-headed_goose_/qinghai/14/2008_CLADE0
8	1.1	a_/_h5n1/a/environment/hong_kong/156/1997_CLADE0
8	1.1	a_/_h5n1/a/hong_kong/481/97_CLADE0
8	1.1	a_/_h5n1/a/hong_kong/538/97_CLADE0
8	1.1	a_/_h5n1/a/hong_kong/97/98_CLADE0
8	1.1	a_/_h5n1/a/hong_kong/486/97_CLADE0
8	1.1	a_/_h5/a/chicken/hong_kong/915/1997_CLADE0
8	1.1	a_/_h5n1/a/hong_kong/482/97_CLADE0
8	1.1	a_/_h5n1/a/chicken/hong_kong/915/97_CLADE0
8	1.1	a_/_h5n1/a/silky_chicken/hong_kong/p17/97_CLADE0
