L'a/chicken/vietnam/ncvd-279/2009_CLADE2.3.4.3',N264,D0.005868
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/hunan/5106/2005_CLADE2.3.4',D0.00292
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/hunan/5128/2005_CLADE2.3.4',D0.004005
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/hunan/5191/2005_CLADE2.3.4',D0.002922
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/hunan/5146/2005_CLADE2.3.4',D0.005098
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/hunan/5170/2005_CLADE2.3.4',D0.005091
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/yunnan/2535/2006_CLADE2.3.4',D0.004744
I'a/guangxi/1/2005_CLADE2.3.4',J'a/goose/yunnan/2485/2006_CLADE2.3.4',D0.004744
I'a/guangxi/1/2005_CLADE2.3.4',J'a/goose/yunnan/4985/2006_CLADE2.3.4',D0.008029
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/yunnan/4873/2006_CLADE2.3.4',D0.007302
I'a/guangxi/1/2005_CLADE2.3.4',J'a/goose/yunnan/3340/2006_CLADE2.3.4',D0.008374
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/yunnan/3332/2006_CLADE2.3.4',D0.008374
I'a/guangxi/1/2005_CLADE2.3.4',J'a/goose/yunnan/1155/2006_CLADE2.3.4',D0.005451
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/guangxi/4446/2005_CLADE2.3.4',D0.002189
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut30850/2005_CLADE2.3.4',D0.002913
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/yunnan/2273/2006_CLADE2.3.4',D0.006558
I'a/guangxi/1/2005_CLADE2.3.4',J'a/goose/guiyang/1461/2006_CLADE2.3.4',D0.004361
I'a/guangxi/1/2005_CLADE2.3.4',J'a/goose/guiyang/1147/2006_CLADE2.3.4',D0.003275
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-52/2007_CLADE2.3.4.3',D0.015465
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/phu_tho/07-48/2007_CLADE2.3.4.3',D0.013233
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/52/2007_CLADE2.3.4.3',D0.013959
I'a/guangxi/1/2005_CLADE2.3.4',J'a/japanese_white-eye/hong_kong/737/2007_CLADE2.3.4.3',D0.009521
I'a/guangxi/1/2005_CLADE2.3.4',J'a/house_crow/hong_kong/1203/2007_CLADE2.3.4.3',D0.009522
I'a/guangxi/1/2005_CLADE2.3.4',J'a/scaly-breasted_munia/hong_kong/2572/2007_CLADE2.3.4.3',D0.010973
I'a/guangxi/1/2005_CLADE2.3.4',J'a/avian/hong_kong/2372/2007_CLADE2.3.4.3',D0.010247
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/viet_nam/tmu006/2008_CLADE2.3.4.3',D0.022825
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-026/2008_CLADE2.3.4.3',D0.021266
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31394ii/2008_CLADE2.3.4.3',D0.02127
I'a/guangxi/1/2005_CLADE2.3.4',J'a/quail/vietnam/ncvd-037/2008_CLADE2.3.4.3',D0.023454
I'a/guangxi/1/2005_CLADE2.3.4',J'a/guangxi/1/2008_CLADE2.3.4.3',D0.02199
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-20/2007_CLADE2.3.4.3',D0.013159
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/18129/2009_CLADE2.3.4.3',D0.023499
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-57/07_CLADE2.3.4.3',D0.014612
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-56/07_CLADE2.3.4.3',D0.014612
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/48/2007_CLADE2.3.4.3',D0.014612
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-62/07_CLADE2.3.4.3',D0.016795
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/43/2007_CLADE2.3.4.3',D0.014614
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-63/07_CLADE2.3.4.3',D0.016083
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/nghe_an/07-49/2007_CLADE2.3.4.3',D0.016795
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-50/07_CLADE2.3.4.3',D0.01607
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/57/2007_CLADE2.3.4.3',D0.013889
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/ha_tinh/07-53/2007_CLADE2.3.4.3',D0.014615
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-81/07_CLADE2.3.4.3',D0.014615
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-71/07_CLADE2.3.4.3',D0.014615
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/ha_nam/07-83/2007_CLADE2.3.4.3',D0.016793
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-84/2007_CLADE2.3.4.3',D0.015343
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-65/07_CLADE2.3.4.3',D0.013888
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/bac_gieng/07-66/2007_CLADE2.3.4.3',D0.015343
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/bac_giang/07-74/2007_CLADE2.3.4.3',D0.016068
I'a/guangxi/1/2005_CLADE2.3.4',J'a/avian/vietnam/ncvd-132/2008_CLADE2.3.4.3',D0.021187
I'a/guangxi/1/2005_CLADE2.3.4',J'a/avian/vietnam/ncvd-133/2008_CLADE2.3.4.3',D0.021913
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-014/2008_CLADE2.3.4.3',D0.019724
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-084/2008_CLADE2.3.4.3',D0.020459
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/viet_nam/tmu015/2008_CLADE2.3.4.3',D0.021184
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-005/2008_CLADE2.3.4.3',D0.01899
I'a/guangxi/1/2005_CLADE2.3.4',J'a/avian/vietnam/ncvd-124/2008_CLADE2.3.4.3',D0.020469
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-024/2008_CLADE2.3.4.3',D0.019716
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-041/2008_CLADE2.3.4.3',D0.018991
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/viet_nam/tmu004/2008_CLADE2.3.4.3',D0.021901
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/viet_nam/tmu005/2008_CLADE2.3.4.3',D0.019712
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-006/2008_CLADE2.3.4.3',D0.018986
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-028/2008_CLADE2.3.4.3',D0.017527
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-185/2008_CLADE2.3.4.3',D0.021908
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-186/2008_CLADE2.3.4.3',D0.021184
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-188/2008_CLADE2.3.4.3',D0.023364
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-187/2008_CLADE2.3.4.3',D0.021911
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/ninh_binh/07-68/2007_CLADE2.3.4.3',D0.013162
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31239/2007_CLADE2.3.4.3',D0.01389
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-120/2007_CLADE2.3.4.3',D0.014619
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-47/2007_CLADE2.3.4.3',D0.013891
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-47/2007_CLADE2.3.4.3',D0.013891
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-111/2007_CLADE2.3.4.3',D0.015347
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-112/2007_CLADE2.3.4.3',D0.016072
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/nam_dinh/07-87/2007_CLADE2.3.4.3',D0.01389
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-51/2007_CLADE2.3.4.3',D0.013892
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31203a/2007_CLADE2.3.4.3',D0.016821
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-110/2007_CLADE2.3.4.3',D0.015345
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/hn31388m1/2007_CLADE2.3.4.3',D0.019727
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-113/2007_CLADE2.3.4.3',D0.014618
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-086/2008_CLADE2.3.4.3',D0.022698
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-114/2007_CLADE2.3.4.3',D0.015344
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/son_la/07-85/2007_CLADE2.3.4.3',D0.015346
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/na72/2007_CLADE2.3.4.3',D0.024183
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/na114/2007_CLADE2.3.4.3',D0.020474
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-029/2008_CLADE2.3.4.3',D0.017538
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-a015/2008_CLADE2.3.4.3',D0.026404
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31312ii/2007_CLADE2.3.4.3',D0.017537
I'a/guangxi/1/2005_CLADE2.3.4',J'a/viet_nam/hn31242/2007_CLADE2.3.4.3',D0.018265
